"_type","author","keywords","text"
"dict","Stephen Chbosky","inspirational,love","“We accept the love we think we deserve.”"
"dict","André Gide","life,love","“It is better to be hated for what you are than to be loved for what you are not.”"
"dict","Marilyn Monroe","attributed-no-source,be-yourself,inspirational","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
"dict","J.R.R. Tolkien","frost,glitter,gold,lost,poetry,roots,strength,strong,wander,wither","“All that is gold does not glitter”"
"dict","Maurice Switzer","misattributed-to-abraham-lincoln,remaining-silent,wisdom","“It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”"
"dict","Albert Einstein","attributed-no-source,inspirational,life,live,miracle,miracles","“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”"
"dict","Jane Austen","aliteracy,books,classic,humor","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
"dict","Allen Saunders","fate,life,misattributed-john-lennon,planning,plans","“Life is what happens to you while you're busy making other plans.”"
"dict","John Green","love","“As he read, I fell in love the way you fall asleep: slowly, and then all at once.”"
"dict","J.K. Rowling","abilities,choices","“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
"dict","Mark Twain","individuality,majority,minority,pause,reflect,wisdom","“Whenever you find yourself on the side of the majority, it is time to pause and reflect.”"
"dict","Mark Twain","books,contentment,friends,friendship,life","“Good friends, good books, and a sleepy conscience: this is the ideal life.”"
"dict","William Shakespeare","wisdom","“The fool doth think he is wise, but the wise man knows himself to be a fool.”"
"dict","Eleanor Roosevelt","attributed-no-source,misattributed-eleanor-roosevelt","“A woman is like a tea bag; you never know how strong it is until it's in hot water.”"
"dict","J.K. Rowling","dreams,life","“It does not do to dwell on dreams and forget to live.”"
"dict","Bil Keane","attributed-no-source,hope,inspirational,misattributed-eleanor-roosevelt,past,present,widely-misattributed","“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”"
"dict","Gordon A. Eadie","belief,integrity,misattributed-to-malcolm-x,misattributed-to-rosa-parks","“If you don't stand for something you will fall for anything.”"
"dict","Oscar Wilde","inspirational,optimism,perception,pessimism","“We are all in the gutter, but some of us are looking at the stars.”"
"dict","Mark Twain","aliteracy,attributed-no-source,literacy,33874 likes","“The man who does not read has no advantage over the man who cannot read.”"
"dict","Thomas A. Edison","edison,failure,inspirational,paraphrased","“I have not failed. I've just found 10,000 ways that won't work.”"
"dict","Friedrich Nietzsche","friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”"
"dict","Elie Wiesel","activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”"
"dict","Groucho Marx","animals,books,dogs,friends,humor","“Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”"
"dict","Douglas Adams","life,navigation","“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”"
"dict","Albert Einstein","1929,imagination,inspirational,viereck-interview","“I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”"
"dict","Steve Martin","humor,obvious,simile","“A day without sunshine is like, you know, night.”"
"dict","Neil Gaiman","books,dragons,fairy-tales,inspirational,paraphrasing-g-k-chesterton","“Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”"
"dict","Dr. Seuss","fantasy","“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”"
"dict","Mark Twain","humor,procrastination","“Never put off till tomorrow what may be done day after tomorrow just as well.”"
"dict","Pablo Neruda","love,poetry","“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”"
"dict","Friedrich Nietzsche","paraphrased,strength","“That which does not kill us makes us stronger.”"
"dict","Kent M. Keith","forgiveness,goodness,happiness,honesty,kindness,misattributed-to-mother-teresa,world","“The Paradoxical Commandments"
"dict","J.K. Rowling","mischief","“I solemnly swear that I am up to no good.”"
"dict","Neil Gaiman","love","“Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”"
"dict","Dr. Seuss","inspirational","“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”"
"dict","William Shakespeare","do-wrong,love,trust,wrong","“Love all, trust a few, do wrong to none.”"
"dict","Mother Teresa","attributed-no-source","“If you judge people, you have no time to love them.”"
"dict","Sarah Dessen","love","“There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”"
"dict","Marilyn Monroe","attributed-no-source,friends,heartbreak,inspirational,life,love,sisters","“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
"dict","Ralph Waldo Emerson","happiness","“For every minute you are angry you lose sixty seconds of happiness.”"
"dict","Lao Tzu","courage,deeply-loved,love,strength,widely-misattributed","“Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”"
"dict","Douglas Adams","deadlines,humor,humour,work,writing","“I love deadlines. I love the whooshing noise they make as they go by.”"
"dict","John Green","","“My thoughts are stars I cannot fathom into constellations.”"
"dict","George Eliot","inspirational","“It is never too late to be what you might have been.”"
"dict","Garrison Keillor","humor,religion","“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”"
"dict","Friedrich Nietzsche","lies,lying,trust","“I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”"
"dict","Albert Einstein","attributed-no-source,simplicity,understand","“If you can't explain it to a six year old, you don't understand it yourself.”"
"dict","Robert A. Heinlein","cats,humor,women","“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”"
"dict","Robert A. Heinlein","essential,happiness,love","“Love is that condition in which the happiness of another person is essential to your own.”"
"dict","George R.R. Martin","read,readers,reading,reading-books","“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”"
"dict","Dr. Seuss","attributed-no-source,life","“Sometimes the questions are complicated and the answers are simple.”"
"dict","William Nicholson","misattributed-to-c-s-lewis,reading","“We read to know we're not alone.”"
"dict","J.K. Rowling","courage,friends","“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”"
"dict","Jorge Luis Borges","books,library","“I have always imagined that Paradise will be a kind of library.”"
"dict","Suzanne Collins","katniss,love,peeta,suzanne-collins,the-hunger-games","“You love me. Real or not real?"""
"dict","Anaïs Nin","","“We don't see things as they are, we see them as we are.”"
"dict","Bob Marley","love","“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”"
"dict","Jim Henson","humor","“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”"
"dict","Charles M. Schulz","chocolate,food,humor","“All you need is love. But a little chocolate now and then doesn't hurt.”"
"dict","Dr. Seuss","comedy,life,yourself","“Today you are You, that is truer than true. There is no one alive who is Youer than You.”"
"dict","Pablo Picasso","art,imagination,inspirational,life","“Everything you can imagine is real.”"
"dict","Unknown","misattributed-to-mother-teresa","“Life is an opportunity, benefit from it."
"dict","Maya Angelou","1970,inspirational,stories,writing","“There is no greater agony than bearing an untold story inside you.”"
"dict","Paul   Terry","exercise,humor,laziness,misattributed-to-hutchins","“Whenever I feel the need to exercise, I lie down until it goes away.”"
"dict","Lemony Snicket","books,reading","“Never trust anyone who has not brought a book with them.”"
"dict","John Green","books,power-of-words,reading","“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”"
"dict","Nicholas Sparks","love","“I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”"
"dict","Woody Allen","death,fear,humor,life","“I'm not afraid of death; I just don't want to be there when it happens.”"
"dict","Joan Powers","friendship,misattributed-a-a-milne","“If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”"
"dict","Bob Marley","music","“One good thing about music, when it hits you, you feel no pain.”"
"dict","Albert Einstein","attributed-no-source,children,fairy-tales","“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”"
"dict","Albert Einstein","attributed-no-source,imagination","“Logic will get you from A to Z; imagination will get you everywhere.”"
"dict","Mother Teresa","misattributed-to-mother-teresa","“Not all of us can do great things. But we can do small things with great love.”"
"dict","Walter M. Miller Jr.","body-soul,misattributed-to-c-s-lewis","“You don’t"
"dict","Cassandra Clare","city-of-bones,jace","“Have you fallen in love with the wrong person yet?'"
"dict","Dr. Seuss","learning,reading,seuss","“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”"
"dict","John Green","doomed,inevitable,love,oblivion,pleasure,simple","“I'm in love with you,"" he said quietly."
"dict","John Green","humor,nerdfighters","“Saying 'I notice you're a nerd' is like saying, 'Hey, I notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of Lindsay Lohan. Why is that?' In fact, it seems to me that most contemporary insults are pretty lame. Even 'lame' is kind of lame. Saying 'You're lame' is like saying 'You walk with a limp.' Yeah, whatever, so does 50 Cent, and he's done all right for himself.”"
"dict","Abraham Lincoln","attributed-no-source,happiness","“Folks are usually about as happy as they make their minds up to be.”"
"dict","Bob Marley","friendship","“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”"
"dict","John Green","satisfaction,self-determination","“You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”"
"dict","J.K. Rowling","","“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”"
"dict","William Shakespeare","love","“Love looks not with the eyes, but with the mind,"
"dict","Alexandre Dumas-fils","misattributed-to-einstein","“The difference between genius and stupidity is: genius has its limits.”"
"dict","Virginia Woolf","women","“I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.”"
"dict","Nicholas Sparks","love,simile","“Love is like the wind, you can't see it but you can feel it.”"
"dict","Markus Zusak","beauty,life","“Sometimes people are beautiful."
"dict","Theodore Roosevelt","inspirational","“Do what you can, with what you have, where you are.”"
"dict","Oscar Wilde","books,reading","“If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”"
"dict","Marilyn Monroe","attributed-no-source,girls,love","“If you can make a woman laugh, you can make her do anything.”"
"dict","Haruki Murakami","books,thought","“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”"
"dict","C.S. Lewis","books,inspirational,reading,tea","“You can never get a cup of tea large enough or a book long enough to suit me.”"
"dict","J.K. Rowling","dumbledore","“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”"
"dict","Shel Silverstein","anything-can-be,hope,impossible,inspirational,musn-t,possibilities,shouldn-t,won-t","“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”"
"dict","Stephenie Meyer","drug,romance,simile","“He's like a drug for you, Bella.”"
"dict","Robert Fulghum","love,weirdness","“We’re all a little weird. And life is a little weird. And when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdness—and call it love—true love.”"
"dict","Elizabeth Gilbert","love","“People think a soul mate is your perfect fit, and that's what everyone wants. But a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life."
"dict","Helen Keller","inspirational","“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”"
"dict","J.K. Rowling","death,inspirational","“To the well-organized mind, death is but the next great adventure.”"
"dict","Groucho Marx","books,humor,reading,television","“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”"
"dict","Marilyn Monroe","attributed-no-source","“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”"
"dict","Jodi Picoult","imperfect,love","“You don't love someone because they're perfect, you love them in spite of the fact that they're not.”"
"dict","Marilyn Monroe","attributed-no-source,love","“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”"
"dict","George Bernard Shaw","inspirational,life,yourself","“Life isn't about finding yourself. Life is about creating yourself.”"
"dict","Bessie Anderson Stanley","life,misattributed-to-emerson,success,widely-misattributed","“He has achieved success who has lived well, laughed often, and loved much;"
"dict","Marilyn Monroe","attributed-no-source","“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”"
"dict","Albert Einstein","life,simile","“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
"dict","Bob Marley","judge,life,live,perfection","“Who are you to judge the life I live?"
"dict","Anaïs Nin","death,love","“Love never dies a natural death. It dies because we don't know how to replenish its source. It dies of blindness and errors and betrayals. It dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”"
"dict","A.A. Milne","friendship,piglet,pooh,reassurance","“Piglet sidled up to Pooh from behind."
"dict","Marthe Troly-Curtin","happiness,misattributed-john-lennon,procrastination,time","“Time you enjoy wasting is not wasted time.”"
"dict","John Green","infinity,john-green,life,tfios,the-fault-in-our-stars","“Some infinities are bigger than other infinities.”"
"dict","Douglas Adams","humor,scifi","“The story so far:"
"dict","Eleanor Roosevelt","attributed,fear,inspiration","“Do one thing every day that scares you.”"
"dict","Ernest Hemingway","books,friends,novelist-quotes","“There is no friend as loyal as a book.”"
"dict","Jane Austen","friendship,love","“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”"
"dict","Terry Pratchett","humor,open-mind,thinking","“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”"
"dict","Alfred Lord Tennyson","friendship,love","“If I had a flower for every time I thought of you...I could walk through my garden forever.”"
"dict","J.K. Rowling","dumbledore","“It matters not what someone is born, but what they grow to be.”"
"dict","Oscar Wilde","books,reading","“It is what you read when you don't have to that determines what you will be when you can't help it.”"
"dict","Unknown","inspirational,misattributed-audrey-hepburn","“I believe in manicures. I believe in overdressing. I believe in primping at leisure and wearing lipstick. I believe in pink. I believe that loving is the best calorie-burner. I believe in kissing. I believe that happy girls are the prettiest girls... and I believe in miracles.”"
"dict","Bill Watterson","calvin-and-hobbes,humor,life","“Reality continues to ruin my life.”"
"dict","Winston S. Churchill","bravery,courage,failure,inspirational,success","“Success is not final, failure is not fatal: it is the courage to continue that counts.”"
"dict","Charles Bukowski","humor","“Some people never go crazy. What truly horrible lives they must lead.”"
"dict","Charles M. Schulz","humor,mankind,people","“"
"dict","Cassandra Clare","mortal-instruments,romance,teen-fantasy","“There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”"
"dict","Suzanne Collins","humor","“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”"
"dict","Stephen Chbosky","charlie,favourite-books,inspirational,sad,soul-searching,wallflower","“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”"
"dict","Suzanne Collins","the-hunger-games","“You don’t forget the face of the person who was your last hope.”"
"dict","Benjamin Franklin Wade","humor,misattributed-mark-twain,philosophy,theology","“Go to heaven for the climate and hell for the company.”"
"dict","W.C. Fields","humor,sinister","“I am free of all prejudice. I hate everyone equally. ”"
"dict","George Carlin","humor,insanity,lies,lying,self-indulgence,truth","“The reason I talk to myself is because I’m the only one whose answers I accept.”"
"dict","Stephen Chbosky","change,life","“Things change. And friends leave. Life doesn't stop for anybody.”"
"dict","John Green","compassion,life,suffering","“The only way out of the labyrinth of suffering is to forgive.”"
"dict","Linda Grayson","chocolate,friendship","“There is nothing better than a friend, unless it is a friend with chocolate.”"
"dict","J.D. Salinger","authors,books,literature,reading,writing","“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”"
"dict","Jess C. Scott","desire,emotion,friendship,honesty,imagination,individuality,life,love,passion,reality,relationships,romance,truth,wisdom,wise-words","“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”"
"dict","John Lennon","beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace","“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”"
"dict","John Green","","“What a slut time is. She screws everybody.”"
"dict","C.S. Lewis","love","“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”"
"dict","Neil Gaiman","dying,facts,fame,knowing,love,poverty,reality,school,teach,wealth","“I've been making a list of the things they don't teach you at school. They don't teach you how to love somebody. They don't teach you how to be famous. They don't teach you how to be rich or how to be poor. They don't teach you how to walk away from someone you don't love any longer. They don't teach you how to know what's going on in someone else's mind. They don't teach you what to say to someone who's dying. They don't teach you anything worth knowing.”"
"dict","Ralph Waldo Emerson","life,regrets","“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”"
"dict","Ayn Rand","","“The question isn't who is going to let me; it's who is going to stop me.”"
"dict","Mark Twain","attributed-no-source,education","“I have never let my schooling interfere with my education.”"
"dict","Ernest Hemingway","good,writing","“There is nothing to writing. All you do is sit down at a typewriter and bleed.”"
"dict","Nicholas Sparks","love,marriage","“So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.”"
"dict","John Green","humans,pain,scars","“The marks humans leave are too often scars.”"
"dict","John Green","books,reading","“Books are the ultimate Dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back.”"
"dict","E.E. Cummings","attributed-no-source,courage","“It takes courage to grow up and become who you really are.”"
"dict","Albert Einstein","attributed-no-source,mistakes","“Anyone who has never made a mistake has never tried anything new.”"
"dict","Jimi Hendrix","death,life","“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”"
"dict","John Green","infinity","“There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. Some infinities are bigger than other infinities. A writer we used to like taught us that. There are days, many of them, when I resent the size of my unbounded set. I want more numbers than I'm likely to get, and God, I want more numbers for Augustus Waters than he got. But, Gus, my love, I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days, and I'm grateful.”"
"dict","J.M. Barrie","adventure,love","“To die will be an awfully big adventure.”"
"dict","Charles J. Sykes","humor,misattributed-to-bill-gates,nerd,nerds,work","“Be nice to nerds. You may end up working for them. We all could.”"
"dict","Mark Twain","books,classic,reading","“Classic' - a book which people praise and don't read.”"
