"_type","author","keywords","text"
"dict","Marianne Williamson","akeelah,fear,inspirational","“Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.”"
"dict","Rosemarie Urquico","","“You should date a girl who reads."
"dict","J.R.R. Tolkien","bilbo,journey,lost,quest,travel,wander","“Not all those who wander are lost.”"
"dict","J.K. Rowling","live-death-love","“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”"
"dict","Khaled Hosseini","life","“But better to get hurt by the truth than comforted with a lie.”"
"dict","Jane Austen","humor,love,romantic,women","“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”"
"dict","Nicholas Sparks","life,love","“Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.”"
"dict","Madeleine L'Engle","books,children,difficult,grown-ups,write,writers,writing","“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”"
"dict","Stephen Chbosky","infinity","“And in that moment, I swear we were infinite.”"
"dict","Veronica Roth","inspirational-quotes,strength-and-courage","“We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.”"
"dict","Anonymous","follow-your-bliss,misattributed-confucious,work","“Choose a job you love, and you will never have to work a day in your life.”"
"dict","Toni Morrison","books,writing","“If there's a book that you want to read, but it hasn't been written yet, then you must write it.”"
"dict","J.K. Rowling","integrity","“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”"
"dict","Anonymous","misattributed-to-mother-teresa","“I know God won't give me anything I can't handle. I just wish he didn't trust me so much.”"
"dict","Alfred Lord Tennyson","love,paraphrase-of-congreve","“Tis better to have loved and lost"
"dict","Paulo Coelho","inspirational","“And, when you want something, all the universe conspires in helping you to achieve it.”"
"dict","J.K. Rowling","dumbledore,life,love,snape","“Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears."
"dict","Anonymous","misattributed-mark-twain,truth","“A lie can travel half way around the world while the truth is putting on its shoes.”"
"dict","Mark Twain","death,life","“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”"
"dict","Jane Austen","books,library,reading","“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”"
"dict","J.R.R. Tolkien","adventuring,death,time","“I wish it need not have happened in my time,"" said Frodo."
"dict","William Shakespeare","greatness","“Be not afraid of greatness. Some are born great, some achieve greatness, and others have greatness thrust upon them.”"
"dict","Dr. Seuss","inspirational","“A person's a person, no matter how small.”"
"dict","Mark Twain","truth","“Never tell the truth to people who are not worthy of it.”"
"dict","C.S. Lewis","christianity,faith,religion,sun","“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”"
"dict","Nicholas Sparks","dear-john,nicholas-sparks","“I finally understood what true love meant...love meant that you care for another person's happiness more than your own, no matter how painful the choices you face might be.”"
"dict","Nicolas Chamfort","philosophy","“A day without laughter is a day wasted.”"
"dict","Maya Angelou","1993,advice,complaining,inspirational","“What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.”"
"dict","Anonymous","attributed-no-source,misattributed-to-einstein","“Everybody is a genius. But if you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid.”"
"dict","C.S. Lewis","age,fairytales,growing-up","“Some day you will be old enough to start reading fairy tales again.”"
"dict","Cassandra Clare","books","“One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”"
"dict","Chuck Palahniuk","happiness,pain,peace,scar,sweetness","“It's so hard to forget pain, but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.”"
"dict","Oscar Wilde","truth","“The truth is rarely pure and never simple.”"
"dict","Harper Lee","better-life-empathy","“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”"
"dict","Markus Herz","books,health,humor,misattributed-mark-twain,misprints","“Be careful about reading health books. Some fine day you'll die of a misprint.”"
"dict","John Green","invincible,teenagers,teens","“When adults say, ""Teenagers think they are invincible"" with that sly, stupid smile on their faces, they don't know how right they are. We need never be hopeless, because we can never be irreparably broken. We think that we are invincible because we are. We cannot be born, and we cannot die. Like all energy, we can only change shapes and sizes and manifestations. They forget that when they get old. They get scared of losing and failing. But that part of us greater than the sum of our parts cannot begin and cannot end, and so it cannot fail.”"
"dict","Marilyn Monroe","attributed-no-source","“If you're gonna be two-faced at least make one of them pretty.”"
"dict","John Green","augustus-waters,hazel,heartbreak,privilege","“Oh, I wouldn't mind, Hazel Grace. It would be a privilege to have my heart broken by you.”"
"dict","Kurt Vonnegut","action,attitude,choice,imagination,inspiration,life,pretend","“We are what we pretend to be, so we must be careful about what we pretend to be.”"
"dict","J.K. Rowling","truth","“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”"
"dict","Ralph Waldo Emerson","friends","“It is one of the blessings of old friends that you can afford to be stupid with them.”"
"dict","Terry Johnson","humor,misattributed-to-marilyn-monroe,philosophy","“Have you ever noticed how ‘What the hell’ is always the right decision to make?”"
"dict","Oscar Wilde","books,morality,reading","“The books that the world calls immoral are books that show the world its own shame.”"
"dict","Nicholas Sparks","inspirational,the-notebook","“You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”"
"dict","Lewis Carroll","alice,humor,inspirational,philosophy-of-life,psychological,yesterday","“It’s no use going back to yesterday, because I was a different person then.”"
"dict","John Green","","“Thomas Edison's last words were """
"dict","Bob Marley","inspirational,love","“He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.”"
"dict","Chuck Palahniuk","life,love","“The one you love and the one who loves you are never, ever the same person.”"
"dict","Aristotle","introspection,self-discovery,wisdom","“Knowing yourself is the beginning of all wisdom.”"
"dict","George R.R. Martin","books,mind","“A mind needs books as a sword needs a whetstone, if it is to keep its edge.”"
"dict","Henri J.M. Nouwen","empathy,friends,friendship,inspirational","“When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”"
"dict","Haruki Murakami","memories","“Memories warm you up from the inside. But they also tear you apart.”"
"dict","J.K. Rowling","humor,rebellion,sarcasm","“Do you remember me telling you we are practicing non-verbal spells, Potter?"""
"dict","C.E.M. Joad","creativity,humor,misattributed-to-einstein,paraphrased","“Creativity is knowing how to hide your sources”"
"dict","Helen Keller","friendship","“I would rather walk with a friend in the dark, than alone in the light.”"
"dict","Sarah Dessen","friendship","“Life is an awful, ugly place to not have a best friend.”"
"dict","Mahatma Gandhi","attributed-no-source,conflict,fighting,peace,revenge,trial,violence","“An eye for an eye will only make the whole world blind.”"
"dict","Rita Mae Brown","humor,insanity","“The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.”"
"dict","Cassandra Clare","clary,clothes,jace,wounds","“Is this the part where you start tearing off strips of your shirt to bind my wounds?"""
"dict","Marlene Dietrich","attributed-no-source","“It's the friends you can call up at 4 a.m. that matter.”"
"dict","Ernest Hemingway","happiness","“Happiness in intelligent people is the rarest thing I know.”"
"dict","Oscar Wilde","dreaming,dreams,imagination","“Yes: I am a dreamer. For a dreamer is one who can only find his way by moonlight, and his punishment is that he sees the dawn before the rest of the world.”"
"dict","Suzanne Collins","peeta","“I wish I could freeze this moment, right here, right now and live in it forever.”"
"dict","Paulo Coelho","inspirational","“It's the possibility of having a dream come true that makes life interesting.”"
"dict","Joseph Conrad","women","“Being a woman is a terribly difficult trade since it consists principally of dealings with men.”"
"dict","John Green","johngreen,lookingforalaska","“So I walked back to my room and collapsed on the bottom bunk, thinking that if people were rain, I was drizzle and she was a hurricane.”"
"dict","Stephen King","books,magic,reading","“Books are a uniquely portable magic.”"
"dict","John Green","faith,faithfulness,love,promises","“Some people don't understand the promises they're making when they make them,"" I said."
"dict","Joe Klaas","anger,freedom,misattributed-gloria-steinem,truth","“The truth will set you free, but first it will piss you off.”"
"dict","Marilyn Monroe","alone","“It's far better to be unhappy alone than unhappy with someone — so far.”"
"dict","Cassandra Clare","humor,jace-wayland,simon-lewis","“Jesus!"" Luke exclaimed."
"dict","Pablo Neruda","love,poetry","“I love you as certain dark things are to be loved,"
"dict","Laurel Thatcher Ulrich","inspirational,misattributed-eleanor-roosevelt,women","“Well-behaved women seldom make history.”"
"dict","Nicholas Sparks","nicholas-sparks,quote,the-last-song","“Sometimes you have to be apart from people you love, but that doesn't make you love them any less. Sometimes you love them more.”"
"dict","Albert Einstein","life,respect","“I speak to everyone in the same way, whether he is the garbage man or the president of the university.”"
"dict","J.K. Rowling","hermione","“Just because you have the emotional range of a teaspoon doesn't mean we all have.”"
"dict","Edgar Allan Poe","insanity,sanity","“I became insane, with long intervals of horrible sanity.”"
"dict","Mark Twain","greatness","“Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great.”"
"dict","Roald Dahl","","“Those who don't believe in magic will never find it.”"
"dict","Charles William Eliot","books,friends,reading,teachers","“Books are the quietest and most constant of friends; they are the most accessible and wisest of counselors, and the most patient of teachers.”"
"dict","William Styron","books,reading","“A great book should leave you with many experiences, and slightly exhausted at the end. You live several lives while reading.”"
"dict","H.N. Turteltaub","misattributed-cassandra-clare,misattributed-jace","“If you were half as funny as you think you are, you'd be twice as funny as you really are.”"
"dict","Mahatma Gandhi","attributed-no-source,happiness","“Happiness is when what you think, what you say, and what you do are in harmony.”"
"dict","J.K. Rowling","pain","“Numbing the pain for a while will make it worse when you finally feel it.”"
"dict","George Harrison","life,paraphrase-of-lewis-carroll","“If you don't know where you're going, any road'll take you there”"
"dict","Sarah Dessen","love","“Love is needing someone. Love is putting up with someone's bad qualities because they somehow complete you.”"
"dict","Oscar Wilde","education,fashion","“You can never be overdressed or overeducated.”"
"dict","John Green","","“The world is not a wish-granting factory.”"
"dict","Cassandra Clare","clary-fray,demons,growing-up,humor,jace-wayland,luke,teenager","“I don't want to be a man,"" said Jace. ""I want to be an angst-ridden teenager who can't confront his own inner demons and takes it out verbally on other people instead."""
"dict","Sylvia Plath","books,life,limits","“I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. And I am horribly limited.”"
"dict","Frederick Lewis Donaldson","character,commerce,conscience,happiness,humanity,knowledge,misattributed-to-gandhi,money,morality,pleasure,politics,principle,sacrifice,science,sin,sins,wealth,work,worship","“The Seven Social Sins are:"
"dict","Socrates","knowledge,wisdom","“The only true wisdom is in knowing you know nothing.”"
"dict","Suzanne Collins","truth","“I am not pretty. I am not beautiful. I am as radiant as the sun.”"
"dict","Larry Clemmons","misattributed-a-a-milne,movie","“We'll be friends forever, won't we, Pooh?"" asked Piglet."
"dict","John Green","breaking-up,lost-love","“You can love someone so much...But you can never love people as much as you can miss them.”"
"dict","Chuck Palahniuk","god,humor,life","“All God does is watch us and kill us when we get boring. We must never, ever be boring.”"
"dict","Audrey Hepburn","attributed-no-source,inspirational","“Nothing is impossible, the word itself says 'I'm possible'!”"
"dict","Anonymous","bible,love","“Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It is not rude, it is not self-seeking, it is not easily angered, it keeps no record of wrongs. Love does not delight in evil but rejoices with the truth. It always protects, always trusts, always hopes, always perseveres.”"
"dict","Bob Marley","love","“Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”"
"dict","Anne Frank","activism,life,optimism,philosophy,world","“How wonderful it is that nobody need wait a single moment before starting to improve the world.”"
"dict","George V. Higgins","humor,life,misattributed-john-wayne","“This life’s hard, but it’s harder if you’re stupid.”"
"dict","Stephen King","reading,writing","“If you don't have time to read, you don't have the time (or the tools) to write. Simple as that.”"
"dict","C.S. Lewis","books,children-s-books,reading","“A children's story that can only be enjoyed by children is not a good children's story in the slightest.”"
"dict","Terry Pratchett","humor,proverb","“Give a man a fire and he's warm for a day, but set fire to him and he's warm for the rest of his life.”"
"dict","Lisa Kleypas","love,relationships,romance","“I no longer believed in the idea of soul mates, or love at first sight. But I was beginning to believe that a very few times in your life, if you were lucky, you might meet someone who was exactly right for you. Not because he was perfect, or because you were, but because your combined flaws were arranged in a way that allowed two separate beings to hinge together.”"
"dict","John Green","","“What is the point of being alive if you don't at least try to do something remarkable?”"
"dict","Herbert Bayard Swope","failure,inspirational,misattributed-bill-cosby,success","“I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.”"
"dict","Nicholas Sparks","friends,judgement","“You're going to come across people in your life who will say all the right words at all the right times. But in the end, it's always their actions you should judge them by. It's actions, not words, that matter.”"
"dict","Harper Lee","reading","“Until I feared I would lose it, I never loved to read. One does not love breathing.”"
"dict","Veronica Roth","dauntless,divergent,fearless,four,tris","“Becoming fearless isn't the point. That's impossible. It's learning how to control your fear, and how to be free from it.”"
"dict","Victor Hugo","literature,music,poetry","“Music expresses that which cannot be put into words and that which cannot remain silent”"
"dict","Eleanor Roosevelt","inspirational","“Do what you feel in your heart to be right – for you’ll be criticized anyway.”"
"dict","Roald Dahl","believe,glittering-eyes,hidden,magic,secrets,unlikely-places,watch,world","“And above all, watch with glittering eyes the whole world around you because the greatest secrets are always hidden in the most unlikely places. Those who don't believe in magic will never find it.”"
"dict","Mahatma Gandhi","despair,evil,goodness,inspirational,love,sadness,truth,victory","“When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.”"
"dict","Douglas Adams","attributed-no-source,humor,wit","“I refuse to answer that question on the grounds that I don't know the answer”"
"dict","Mahatma Gandhi","forgiveness,strength,weakness","“The weak can never forgive. Forgiveness is the attribute of the strong.”"
"dict","Robert Frost","choice,poetry","“The Road Not Taken"
"dict","Nicholas Sparks","love","“You are, and always have been, my dream.”"
"dict","John Green","vlog","“Maybe our favorite quotations say more about us than about the stories and people we're quoting.”"
"dict","John Green","paper-towns","“What a treacherous thing to believe that a person is more than a person.”"
"dict","Mother Teresa","inspirational,peace,smile,smiling","“Peace begins with a smile..”"
"dict","Albert Camus","happiness,meaning-of-life","“You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.”"
"dict","Dalai Lama XIV","happiness,inspirational","“Happiness is not something ready made. It comes from your own actions.”"
"dict","J.K. Rowling","human,life,value,worth","“We're all human, aren't we? Every human life is worth the same, and worth saving.”"
"dict","Nicholas Sparks","friendship,love","“You are my best friend as well as my lover, and I do not know which side of you I enjoy the most. I treasure each side, just as I have treasured our life together.”"
"dict","Isaac Asimov","life,science,wisdom","“The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.”"
"dict","Sam Levenson","beauty,charity,inspirational,kindness,misattributed-audrey-hepburn","“For attractive lips, speak words of kindness."
"dict","Suzanne Collins","falling-apart,giving-in","“It takes ten times as long to put yourself back together as it does to fall apart.”"
"dict","J.R.R. Tolkien","family,friends,parties,social","“I don't know half of you half as well as I should like; and I like less than half of you half as well as you deserve.”"
"dict","Robert Frost","love,poetry","“We love the things we love for what they are.”"
"dict","Cassandra Clare","books,literature,philosphy,poetry,reading","“Only the very weak-minded refuse to be influenced by literature and poetry.”"
"dict","Marilyn Monroe","","“When it comes down to it, I let them think what they want. If they care enough to bother with what I do, then I'm already better than them.”"
"dict","Rainer Maria Rilke","love","“Perhaps all the dragons in our lives are princesses who are only waiting to see us act, just once, with beauty and courage. Perhaps everything that frightens us is, in its deepest essence, something helpless that wants our love.”"
"dict","John Green","inspirational","“Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.”"
"dict","C.S. Lewis","god,world","“If we find ourselves with a desire that nothing in this world can satisfy, the most probable explanation is that we were made for another world.”"
"dict","Paulo Coelho","love","“One is loved because one is loved. No reason is needed for loving.”"
"dict","Jonathan Safran Foer","life","“Sometimes I can hear my bones straining under the weight of all the lives I'm not living.”"
"dict","Jodi Picoult","disappointment,loneliness,loner,solitude","“Let me tell you this: if you meet a loner, no matter what they tell you, it's not because they enjoy solitude. It's because they have tried to blend into the world before, and people continue to disappoint them.”"
"dict","Charles Bukowski","humour,misanthropy,paraphrased","“Do you hate people?”"
"dict","Jack Kerouac","freethinker,inspirational,mad","“the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars.”"
"dict","Mitch Albom","death,life","“Death ends a life, not a relationship.”"
"dict","Suzanne Collins","the-hunger-games","“Happy Hunger Games! And may the odds be ever in your favor.”"
"dict","Nicholas Sparks","","“I love you. I am who I am because of you. You are every reason, every hope, and every dream I've ever had, and no matter what happens to us in the future, everyday we are together is the greatest day of my life. I will always be yours. ”"
"dict","Sarah Dessen","inspirational-quotes","“Don't think or judge, just listen.”"
"dict","Leo Tolstoy","change,tolstoy","“Everyone thinks of changing the world, but no one thinks of changing himself.”"
